,review,negative,positive
10,"Une véritable étude des personnages... on voit le point de vue de chacun sans jamais se plonger dans le manichéisme... une bonne histoire, de bons acteurs...",0,1
11,"Après une première projection dans le théâtre, mon opinion n'a pas changé.Le seul avantage de ce film est les nombres chantés de Julie Andrews, une experte dans le domaine. Le scénario est une catastrophe, hésitant, parfois incompréhensible, certaines séquences sont lourdes et incompréhensibles.Le montage aurait dû enlever quelques scènes inutiles telles que les combats qui n'apportent rien, ce qui aurait rendu le temps de diffusion moins long, pour ce genre de complot. Blake Edwards est connu pour ne pas faire en dentelle. Il le démontre ici. Ceux qui veulent voir un film de choix britannique seront en mesure de faire une bonne peinture avec ""Nobleness oblige"" qui sort maintenant.",1,0
12,"J'ai été impressionné par la fluidité de ce film. Quelle lutte, Freeman m'a mis hors de mon chemin. C'est incroyable que ce film soit un énorme réalisme! La fin est dramatique mais c'est encore beau!",0,1
13,"Le scénario est très original, c'est l'histoire d'un nouveau jeu qui se connecte directement au système nerveux mais à une conférence, un fanatique qui endommage dangereusement la capsule du créateur de jeu. Je trouve le film vraiment sous-estimé parce que oui, c'est vraiment très étrange et a une atmosphère très spéciale, voir troublante mais c'est ce qui rend l'essence du film, c'est d'essayer de perdre le spectateur avec la méthode du ""jeu dans le jeu"", ce qui fait un peu de penser à ""l'accueil"", et c'est vraiment bien fait parce que vous vous perdez vraiment et ne pouvez pas vraiment vous identifier avec les personnages, ce qui est vraiment déroutant. En ce qui concerne la fin, j'ai tout simplement aimé avec cette dernière torsion assez inattendue et où le film laisse les spectateurs interpréter si les personnages sont encore dans le jeu ou pas avec la dernière réplique qui est en fait un peu confuse, ce qui est assez confus.",0,1
14,"Un très bon film, pas sur la guerre du Vietnam elle-même, mais plutôt sur la perception que les soldats en ont. Nous avons le point de vue de quatre protagonistes principaux. Deux sont des soldats expérimentés qui ont déjà été en première ligne de cette guerre, l'un est un jeune soldat qui n'y est pas encore allé et le dernier est un journaliste qui a une vision de citoyen. Nous avons principalement une confrontation d'idées entre James Caan (ancien soldat) et Sweeney (jeune soldat). L'un ne croit plus à cette guerre et est critique à son sujet, l'autre y croit et veut y aller pour se battre.",0,1
15,"Très bon film, contrairement à ""Shame"" dont il est proche dans le thème ""Thanks for Sharing"" nous offre de vraies histoires parfaitement supposées et réalistes. Nous regretterons simplement un présent d'humour mais pouvons gâcher, trop proche de la réalité des faits de l'histoire. Il y a deux acteurs qui ont explosé dans le film le plus populaire de la même année; ""Les Avengers"" aura un peu de plaisir. Mais tout le reste, reste trop socio-moraliste.",0,1
16,"Cumulation de clichés et d'improbabilités, ce film est une fontaine d'eau de rose, avec des femmes qui pleurent pour un oui ou pour un non d'un côté et un homme qui veut faire l'amour plutôt que de risquer de rencontrer le grand amour, de l'autre. Heureusement, Fiston prendra l'avion seul comme un gros avec ses petits sous-vêtements pour sauver tout ça! En retour, l'histoire soulève des questions intéressantes même si à travers le petit garçon, le père célibataire ou même l'opposition entre le confort et le risque de prendre dans le couple. Et même s'il semble déjà vu, il sauve le film de la catastrophe parce qu'à côté, il n'est pas franchement dynamique.",1,0
17,"film très décevant pour le grand retour de Benoit Poelvoorde, on a l'impression de redécouvrir une comédie archi-vue, décevant pour un film de Patrice Leconte. critique sur:cthiboy.blogs.allocine.fr",1,0
18,"Je ne comprends pas les mauvaises notes, c'est super ce film! Une belle intrigue, acteurs au sommet, émotion, réflexion, humour, amour, tout ça dans un seul film :)",0,1
19,"Un petit film, dépouillé, minimaliste, baigné dans la lumière d'été. L'été de Giacomo dit peu et pas très bien, le scénario est inexistant. Il y a un peu d'agitation douce autour des premiers mois sensuels d'un couple d'adolescents et c'est après tout. Pas assez à moins que vous ne vous laissiez conduire par la beauté de la nature et la fraîcheur naturelle des interprètes. Le premier film d'Alessandro Comodin est cruellement manquant de jeu et d'enjeux, sa réception dépend fortement de l'humeur du spectateur.",1,0
20,"Un film d'horreur psychologique qui se réfère aux terreurs les plus profondes de l'Homme. A travers le film Kubrick entend explorer la psychologie humaine et la douce descente dans la folie engendrée par la solitude, la solitude extrême ici poussé à son paroxysme parce qu'il est désiré par notre protagoniste. Un écrivain raté, apportant sa petite famille avec lui, il se retrouvera nez à nez avec le syndrome de «feuille blanche». Le réalisateur démontre comment l'artiste se séparera de ses actifs physiques, sa raison, et enfin sa famille... à la hache! Rapidement le complexe œdipien s'installe dans le trio de personnages, dans l'atmosphère glaciaire de l'hôtel, symbole d'extrême rationalité et de mauvaise symétrie, comme souvent à Kubrick. Porté par un Jack Nicholson au sommet de sa carrière, et qui semble plus fou que jamais dans cette atmosphère malsaine, le temps semble dilater dans ce coin perdu dans les montagnes, et ceci est venu avec ce film horrible, porté par un Jack Nicholson au sommet de sa carrière, et qui semble plus fou que jamais dans cette atmosphère malsaine.",0,1
21,"Ce n'est pas pour rien que le titre a passé dans la langue commune, un peu comme le Groseille et Le Quesnoy à leur époque : Chatiliez a l'art de saisir la vie familiale quotidienne et de se lever sur son sujet. Ici, il se limite à l'exceptionnel : un fils exaspérant avec une gentillesse totalement dépendante, des parents à la fin... le résultat est un feu d'artifice. Les coups tordus se suivent en glissant sur les plumes du canard Tanguy imperturbable. Quant aux acteurs, le choix du tandem Azema-Dussollier s'est révélé sage (aussi drôle dans l'abattage que dans leurs petites conspirations) et Eric Berger joue magnifiquement les têtes à claquer. Je ne vois que le froid à rester indifférent devant ce film.",0,1
22,"M. Eustache, vous êtes parti très tôt. Vous en avez assez pour rendre nostalgiques les prochaines générations... oui, je suis nostalgique. Quand vous passez deux heures si merveilleuses, après une histoire apparemment nodieuse, et pleine de subtilité et d'authenticité, il y a quelque chose à regretter Truffaut et sa bande. Juste pour sentir une atmosphère, une époque, le film en vaut la peine. Tout est authentique. Le jeune Martin Loeb est merveilleux dans sa capacité à en dire beaucoup en faisant si peu. L'intrigue se déroule lentement, avec une intensité insoupçonnée, et une douceur un peu noire. Vous sortez bouleversé. Nous ne savons plus exactement ce qui s'est passé... mais nous étions là, oui, nous étions là. Nous avons assisté à une vie pendant deux heures, et il est difficile de s'en sortir. Pas de complaisance, pas déjà vu, juste une histoire, qui suit son cours, du début à la fin.",0,1
23,"Un film plein d'énergie et d'humour! Même si le scénario n'invente rien dans ce qui a déjà été fait et vu sur le thème du rajeunissement, le casting est bluffant et les chorégraphies bien faites. Nous pardonnerons le manque de rationalité dans l'écriture de sorte que la bonne humeur communicative du film nous amène dans ses sillages.",0,1
24,"Je ne sais pas si je suis celui qui a mal ouvert mes chakras, mais ce Bertolucci ne m'a pas convaincu du tout. Le terrain du début semblait donner lieu à un passionnant voyage spirituel pour ses personnages et le spectateur; mais, sans doute pour un instant la sincérité du cinéaste, on a l'impression qu'il est représenté dans ce film que la religion bouddhiste est pour moins de cinq ans. Cela rend le ""petit Bouddha"" laisser l'impression d'être un grand machin naïf et plein de bonnes sentiments dans rien arrangé par ""flashbacks"", qui contient l'histoire du futur Bouddha, dont l'imagerie colorée, sérieusement manquante de sobriété et même de spiritualité, pèse le tout et semble tout à fait redondant. Et puis tout simplement, nous ne savons pas d'où le réalisateur veut venir; son discours est confus pour dire ne pas exister. Je n'ai pas encore tout vu de Bertolucci mais ce film est pour moi, pour le moment au moins, son travail le plus faible.",1,0
25,"Ce fossé entre une presse qui se concentre sur YAB et ce que pensent les spectateurs nous renforce dans le fait que nous devons faire confiance aux humains et à la masse qu'il représente. Certaines élites vont progressivement tomber. Larmes pour voir l'universalité. Oui, dans l'esprit de 6 milliards d'autres. Allez le voir, devant votre ordinateur.. et surtout, donnez une opportunité à quelqu'un que vous aimez le voir. Ce sera un signe d'amour.",0,1
26,Une suite à la première vitre avec toujours autant d'humour noir dans un ton sarcastique. Nous le demandons à nouveau.,0,1
27,"Dès le début, le malaise est rendu lourd. Après une introduction plutôt amusante, ce ""Rien que pour vos yeux"" devient vite banal et très maladroit. Mais un scénario d'intérêt mineur et de mauvais gars à la remise, on ne peut que déplorer la ringardise de certains dialogues et personnages, qui font indéniablement manquer de saveur au film. De plus, on a presque l'impression d'être dans le grand rire comme tout cela ne semble ni sérieux ni appliqué. Pourtant, James Bond oblige, le tout est autorisé à regarder sans déplaisir, la beauté de Carole Bouquet ne nous laisse pas indifférents et certaines scènes méritent un regard, mais tout cela semble finalement si anecdotique et sans créativité que l'on oublie à peine le film terminé. Un coup pour rien.",1,0
28,"Vrai succession indigestable de références et d'hommages très (trop) soutenu, ""La Bande à Picsou : Le film - Le Trésor de la Lampe Perdue"" reste plat et totalement insignifiant du début à la fin des 67 minutes qui constituent l'œuvre. Sous la raison pour plaire aux enfants en premier lieu, l'histoire, téléphonée et très inisipide, ne pourra que surprendre les plus jeunes d'entre nous. De plus, avec une introduction brouillée et expédiée, Disney ne cache pas ses ambitions : produire un sous-genre pour une rentabilité maximale. Les blagues autour de Picsou, cependant si appréciables dans les bandes dessinées originales, apparaissent dans ce film entièrement mode. De plus, le film ici pique deux trois tours à d'autres films (nous pensons d'abord à l'Indiana Jones) avant de réaliser que le reste constitue une vaste ébauche de ce qui se passera ensuite le magnifique ""Aladdin ""), sans vraiment se renouveler. Nous avons le droit d'être nécessairement déçus par le résultat final.",1,0
29,"Cette quatrième partie reprend là où la deuxième s'était arrêtée. La caméra sur l'épaule est définitivement abandonnée ici et le deuxième degré présent dans la troisième partie également. Tout se passe ici sur un bateau, où les survivants des trois premiers films sont mis en quarantaine. Nous avons un très bon moment, même si nous n'atteignons pas l'excellence de la première partie.",0,1
30,"Peter Weir est un grand réalisateur talentueux qui fait de grands films sur chef-d'œuvre!! La preuve avec « second état » qui raconte l'histoire de personnes qui ont survécu a un accident aérien, dont certains ont perdu des familles et des amis proches, qui sont, comme le titre l'indique, dans un second état de choc émotionnel. Un film bouleversant plein d'humanité, porté par un très grand Jeff Bridges et une excellente actrice qui est rare sur grand écran, Rosie Perez. Un très grand film doit voir!!!",0,1
31,"Mauvais acteurs, mauvais scripts, mauvaise mise en scène... J'ai rarement vu pire... même en arrière-plan sonore, ça ne s'en va pas.",1,0
32,"Le flim est mal traité, les personnages sont fad et pas assez profonds, l'histoire n'est pas assez cohérente, le psychologue dit que le parc a guéri un homme mais le protagoniste souffre d'effets nocifs, la fin n'est pas assez explicite, c'est au spectateur de finir le film.trop de répétition et de lenteur dans le film. Ces nuits avec théodore sont assez longues à mon goût.",1,0
33,"Mouaaaaaaaaaiais...un thriller de science fiction sur le fond du paradoxe temporel, sur le papier je suis un preneur mais je devrais offrir quelque chose d'autre qu'une leçon de morale XXL et c'est ce qui se résume un peu ""dans l'ombre de la lune"". Comme souvent à Netflix la réalisation est soignée mais j'avais (en plus de la leçon de morale) l'impression de voir un nouveau stretch dans le format de long métrage ou un manque de rythme assez sensible. L'idée était là mais le produit fini n'est vraiment pas transcendant 2 / 5",1,0
34,"Le film de Jim Carrey que je préfère, un chef-d'œuvre dans un univers de décalcomanie qui vous fait rire et pleurer... Je ne dis plus rien, c'est à vous de juger, vous ne serez pas déçu!",0,1
35,"Un film vampire qui tente une approche légèrement différente. Il y a une idée, mais il fait plus d'un film d'étudiant à très (menace) grand budget que de réel divertissement. Il est difficile de se fixer aux personnages, le jeu de l'acteur est conventionnel, sans interprétation réelle, et ils ont seulement un trait de personnalité chacun (sauf le personnage principal, qui n'a pas). Le tournage est moyen, bien fait, école. Les dialogues sont un peu ennuyeux (version doublée, j'admets). Le scénario a une base originale (vaguement), mais une continuité très banale Hollywood, n'espère pas de suspense. Cela change, et je ne l'ai pas regretté après. Mais c'est seulement pour les curieux du genre.",1,0
36,"On peut dire que ce film est un classique, voir culte, à l'épopée de Spielberg avait réussi son coup partout dans le monde pyshthout sur les plages, en France nous avons eu l'insipide Lenormand avec sa chanson 'petit dauphin' contre ce film un franchouillard quoi, il parle non seulement de requin et de sa phobie mais aussi de la politique vile de la conscience de masse, un coup de maître Spielberg qui est l'un de ses plus grands succès et nous connaîtrons la suite de ses succès, Roy Scheider est incroyable quelle intensité dans son visage et bien sur le célèbre violoncelle guimicick comme B.O par John Williams. J'aime les requins en surpêcheant des vapeurs trop gâchées pourri avec leur yacht de pd et leur bateau écrasante, les requins ne savent plus où vivre c'est l'homme qui empiète sur son territoire l'eau de la mer et non l'inverse, et surtout les tarlouzes des surfeurs qui vont les briser à chaque fois!",0,1
37,"Vraiment très déçu, je pensais voir un bon petit film d'arts martiaux et d'action, mais au lieu d'un film ennuyeux du début à la fin, les combats sont très mal faits et les acteurs pas au sommet, la production médiocre, le scénario bof, une pitié pour Sean Faris.",1,0
38,"Quand allons-nous vraiment réhabiliter le cinéma de Joël Séria? Ce cinéaste est l'un des seuls en France à avoir réussi à faire des films intransigeants, bruts, vraiment questionner la société, son hypocrisie ses lâches, tout en faisant des films vraiment populaires! Seria, c'est encore plus fort que Chabrol! Et bien plus drôle! Répliques du culte, une superbe JP Marielle (probablement l'un des PLUS FRANCIELS ACTEURS) et un film à crier de rire (jaune)",0,1
39,une belle comédie pleine de tendresse avec des super acteurs voit d'urgence.,0,1
40,"MÉMOIRES. Les héros ne sont pas froids dans leurs oreilles. Les faits sont vaincus et échafaudés sans trembler. Au voleur, Lacenaire dans votre âme et votre conscience. Une descente en enfer pour moi aussi. Dès lors, ma vie est devenue un long suicide.",1,0
41,"En effet, malgré le fait et ce sera le seul point positif de cette critique, les effets spéciaux sont tout à fait corrects et éblouissants en ce moment, nous sommes confrontés à une situation qui défend les aspects caricaturaux des personnages et une situation aussi rocheuse qu'invraisemblable. Il est long, la réalisation est paresseuse, le scénario est tiède sur les classiques comme les étrangers ou The Thing, bref, rien de vraiment envoûtant. Je n'irai pas jusqu'à dire que c'est un navet mais presque, pour oublier.",1,0
42,"Film mineur pour Almodovar qui navigue entre différents genres sans être vraiment nulle part. C'est d'autre part très kitsch, aussi, même pour un film qui veut être assez fou...",1,0
43,"L'acteur qui joue le rôle ne ressemble pas du tout à Al. Aucun charisme, bien qu'il ait les défauts de Capone. Les acteurs récitent leurs textes, les dialogues sont sans goût, aucune scène n'est notable mais beaucoup ne sont pas d'intérêt. L'édition est rugueuse, à part quelques photos peu connues de celui-ci, c'est ennuyeux.",1,0
44,"Découvert il y a 28 ans avec le primé ""My 20th Century"" de l'appareil photo d'or, Ildiko Enyedi revient cette année avec une romance très sensible et poétique atypique. Les deux acteurs, timides et autistes, sont plus que des attachements et sont magnifiés par un superbe travail de réalisation qui insiste fortement sur les jeux de lumière. Ainsi voir, découvrir une très belle facette du cinéma magyar.",0,1
45,"Beaucoup de promesses et de truismes - pas toujours tenus - pour un thriller formel en dépit d'un discours maintenu sinon las, et des lieux pittoresques et des costumes le long des rouleaux de celluloïde. Non édité. Presque culte.",1,0
46,"Le secret de Terabithia est un film vraiment émouvant à la réalisation réussie, et les jeunes acteurs sont très bons. Les filles qu'ils pleurent à la fin du Titanic et bien je pleure à la fin du Secret de Terabithia^^ Pour les petits et les grands.",0,1
47,"Ce film est nul! Je ne pouvais pas le tenir jusqu'à la fin! S'ils veulent parler d'un massacre, ils doivent juste faire un reportage, pas ce genre de film, où il est long et ennuyeux du tout possible!",1,0
48,"C'est très intéressant d'être témoin de cette véritable détresse d'un avocat ; son erreur de jugement dans un procès, signifie beaucoup pour lui, voir trop!",0,1
49,Personnellement je ne connaissais pas le monde de Corto Mlatese (jamais lu une bande dessinée) et j'ai été agréablement surpris parce que ce dessin animé est basé sur les principes du film classique. Une très belle aventure donc avec beaucoup de personnages sevment présenté.,0,1
50,"Comment ne pas aimer ce film grandiose? Ces décors féériques, ces personnages fantastiques? Je me demande... Les critiques de la presse en vue de ce film ont été faites à mon avis très violent. Roberto Begnini incarne parfaitement ce rôle de petit garçon, car malgré son apparence adulte, il est certainement encore plus enfantin que certains adolescents. Ce rôle va à sa perfection. Après avoir vu ce film, j'ai trouvé que l'histoire de Pinocchio était d'autant plus magique, et de plus, derrière tous ces rires et ces larmes, il y a une valeur morale... Un film touchant et amusant.",0,1
51,"Un grand nanard, plein d'invraisemblables avec des extraits de films d'animaux complètement périmés, sans dialogue, histoire de base et effets spéciaux d'époque (c'est ce qui me permet de mettre une note de 0,5 sur ce film).",1,0
52,"Les personnages que nous avons laissés ne sont plus là, nous ne savons pas pourquoi Alice est seule à Washington. Les scènes de combat ne sont pas bien filmées, elles vont trop vite à suivre. La bande son est mauvaise. Les personnages secondaires sont totalement inutiles car nous ne savons rien d'eux. Film totalement sans humour, presque sans texte! Même l'héroïne n'est pas stylée, contrairement aux films précédents. J'avais hâte de sortir. J'étais impatiente d'y assister.",1,0
53,"Monte Hellman était au moins discret depuis vingt ans. Il revient derrière la caméra avec ce film tordu et tordu. Son approche créative est intéressante, autour de l'abymisation du cinéma, et aussi du style, genre de puzzle mystérieux et nonchalant. Mais le cinéaste a inutilement compliqué son scénario, jouant trop sur la confusion entre réalité et fiction, entre identités, se perdant dans les virages et détours de son histoire, les motivations des personnages, et aussi perdant ses spectateurs à travers un complot illisible. Le petit jeu narratif, qui n'apporte finalement rien de nouveau en termes de réflexion sur le cinéma, finit par se fatiguer, d'autant plus qu'il s'étire en longueur. Décie. Note : Le petit rôle de Fabio Testi (Le Jardin des Finzi Contini, L'Important c'est d'aime, Le Fou de guerre...).",1,0
54,"Ce film est à découvrir absolument, c'est une perle du cinéma asiatique, très drôle, qui quitte la piste battue.",0,1
55,"Nous pouvons très facilement définir ce film comme un film de Sunday TV bon marché où les acteurs sont débilissime et un scénario conçu sous extase, j'espère juste que le réalisateur n'a pas d'autres idées comme ça parce que pour faire passer les stagiaires du congrès pour des danseurs fous, des députés dépendants d'esthéticiens et de chiens qui revendiquent leur homosexualité, il faut vraiment avoir la tête pour ça!!",1,0
56,"L'histoire n'est pas très originale : un S.D.F. (Miss Jin) vit dans une gare avec un enfant et devient ami avec un gardien solitaire. Un ancien directeur d'entreprise, alcoolique et parasitaire, se lie au groupe. C'est plus une comédie qu'un drame social mais n'apporte pas grand-chose.",1,0
57,"Les effets spéciaux ne sont pas trop grossiers et j'aime les films de science-fiction, surtout en ce qui concerne le trou noir, mais le scénario est faible, les acteurs/personnes ne sont pas convaincants (quand ils ne sont pas mauvais), les dialogues et de nombreuses scènes sont creux.",1,0
58,"Poignant, émouvant, triste documentaire. Il est accessible aussi bien pour les fans comme moi qui vont découvrir un grand nombre de documents inédits, mais aussi pour les gens qui connaissent certaines chansons et nous suivons ses problèmes de loin.",0,1
59,"Jamais vu un tel DAUBE!!!! Un tel ""téléfilm"" devrait être interdit à la vente!!! LAUGHABLE et sérieux de dépenser autant d'argent pour tirer un tel Navet. Je l'ai ramené au magasin sans demander le remboursement tellement il m'a fait me sentir désolé FORTEMENT DECONSELEMENT: HONOUR AU MAILER",1,0
60,"Parce que trop de comédie romantique tue la comédie romantique, il faut essayer d'être original pour se démarquer. Stéphane Kazandjian, lui, opte pour le film choral et réflexif : nous avons donc six personnages, quatre histoires d'amour et une auscultation du genre, dont le réalisateur magnifie les clichés pour mieux rire... avant de succomber franchement. Un discours à la tonalité difficile à identifier qui, nécessairement, a le don à faire franchement à certains moments. Cependant, tout ne doit pas être jeté ici, entre beaucoup de répliques et de situations amusantes, des acteurs honorables (même si le meilleur d'entre eux, Kad Merad, n'interprète pas qu'un très petit rôle), et des scènes musicales aussi décalées qu'excavées, qui mettent encore en évidence le talent du danseur Stéphane Rousseau. Dommage qu'il n'ait pas de caractère plus cohérent à le montrer. Même remarque pour Alexandra Lamy, la moitié du couple que l'on suit dans la partie",1,0
61,"Non, non, non, nous faisons tous des erreurs parfois, mais là, non, pas croyable! Acteurs, scénaristes, dialogistes et tous les participants ont fait là une grande conn... Un booz rarement égalé dans le monde du cinéma et je me suis arrêté à la fin de quarante minutes (mon cerveau m'a supplié d'arrêter ce film torture.",1,0
62,"Kane a fait beaucoup de westerns dont la quasi totalité ne mérite pas une vision en dehors de l'histoire du cinéma. Nous sommes presque toujours déçus. La belle de San Francisco n'est pas un western ou un musical, c'est un film passe partout sur la base d'un scénario à zéro. Anne Dvorak est moins belle que Virginia Grey et John Wayne joue comme un sabot, ses imitateurs ne font pas rire. On peut vraiment parler de mauvais film. Il mérite d'être retenu seulement pour la reconstruction du temps et qu'il évoque le terrible tremblement de terre de San Francisco (matin de 1906) ainsi que le feu qui a suivi. On peut y voir le manque d'eau des pompiers mais bien trop peu de Chinois, les gens les plus touchés par ce drame gigantesque.",1,0
63,"Une succession de scènes sans grand intérêt. En fin de compte, nous apprenons très peu sur Pasolini. Les acteurs font ce qu'ils peuvent mais ce n'est pas suffisant. Ils parlent presque tout le long du film en anglais avec un grand accent américain, alors qu'ils sont censés jouer les Italiens.",1,0
64,"Un peu d'heure et demie mais il semble très long.... Pas grand chose à se rappeler de ce film où il se passe beaucoup de choses, difficile de s'accrocher à cette histoire ou de s'accrocher à l'un de ces personnages. Cependant, Alice Braga et Gael Garcia Bernal sont plutôt bons mais le manque de dialogues, de rebonds était juste dans mon attention et j'ai fini par attendre impatiemment la fin du film qui m'a laissé complètement indifférent. Malgré une très belle photo, c'est pour moi une déception et un ptit manqué dans le filmo de Bernal...",1,0
65,"Les 5 premières minutes passent assez bien et arrivent ensuite une misérable combinaison de course qui donne le ton du reste de ce petit film est une honte parce que l'histoire sans être d'une originalité folle est efficace mais une réalisation plus solide aiderait sans aucun doute Linewatch. En fait le problème de Linewatch est que malgré certaines qualités le film ne fonctionne tout simplement pas, nous devons faire un effort Linewatch ne parvient pas à capturer notre œil.",1,0
66,"Propaganda cinema... une poignée d'acteurs dont la belle et talentueuse Romy Schneider récite le bréviaire conservateur et gelé du communisme...... autre époque d'autres manières, je préfère infiniment plus Philippe Noiret dans les paysages grecs de la cuisse de Jupiter nous donnant un message d'humour......",1,0
67,"Le maître des spaghettis occidentaux Sergio Leone revient après ""Pour une poignée de dollars"" pour nous livrer un film encore plus réussi, toujours avec Clint Eastwood parfait comme chasseur de primes solitaire. Cette fois, il est accompagné par Lee Van Cleef très bon aussi comme colonel vengeur. La mise en scène est excellente, la musique d'Ennio Morricone est une fois de plus sublime et épouse parfaitement ce film. De nombreuses torsades ponctuent l'histoire pour nous conduire à une grande finale contre une Gian Maria Volonte très bon.",0,1
68,"Même dans les films de zombies ou de virus les plus pourris, il n'a jamais atteint cette nullité absurde! Rien ne sauve ce naufrage ridicule, ni acteurs, ni producteurs, ni scripts, ni effets...etc. Et pour dire qu'il est sorti en 2008!!! Un vrai dragage de toutes les mauvaises scènes et clichés du genre!",1,0
69,Très grand film d'animation japonais. L'animation est visuellement superbe et l'histoire est passionnante. Pour conseiller tout fan d'Albator qui se respecte.,0,1
70,"Je veux être tolérant aux films d'horreur, mais il y a une certaine limite au-delà de laquelle on ne peut supporter les incohérences et l'invraisemblance. Le genre ne pourrait pas exister sans cette somme de mauvaises décisions souvent prises par les victimes qui tentent de survivre à leur meurtrier. Mais ici, le nombre de ces mauvais choix est tel que le film perd de crédibilité. Surtout quand la victime en question se transforme en MacGyver au bon moment, quand jusqu'à présent elle avait fait preuve de folie. Quant à la fin, ridicule... Bref, un très petit film à oublier.",1,0
71,Très beau film qui peut réveiller les consciences dans un monde où la cruauté animale est banalisée au nom de l'argent et du profit. Pour voir absolument.,0,1
72,"Ce film est une belle découverte parce qu'il est rare de voir Mark Whaleberg (MW) jouer d'une manière dramatique. Il incarne un enfant riche que j'appellerai adulescent avec sa coupe de surf qui fait face à l'ennui dans ces relations professionnelles et familiales, père inconnu et mère noyé dans la dépression! Petit cocktail qui fait de lui une âme vagabonde face à une mort attendue et même à l'amour, c'est son adrénaline! À côté de lui une brochette de mafia qui deviennent des thérapeutes dépendants dans le jeu, les 3 acteurs sont très bons dans leurs rôles, avec un John Goodman dans une bonne psychanalyse, ces interventions dans le film passent de la parole moralisante aux robinets dans le dos! Il y a comme père/fils des liens avec ces 3 mafia! L'histoire a lieu entre l'université où il exerce sa profession d'enseignant et prend sa carrière d'écrivain raté (MW) les salles de jeux, hôtels et autres lieux de la haute société américaine (lobbying you don't à son sujet).",0,1
73,"C'est en Roumanie que le Hongrois Kornel Mundruczo est allé tourner cette belle ""Delta"". Présenté en compétition à Cannes 2008, ce film a remporté le prix de la Critique Internationale. Un prix pleinement mérité. En effet, ce film, à un rythme assez lent, traite du sujet difficile de l'inceste frère/sœur avec beaucoup de modestie et de tact. Il montre également les méfaits de l'intolérance. Tout cela accompagné de très belle musique. Nous ne sommes pas près d'oublier l'impression ressentie lorsque le quatuor de Schubert ""la jeune fille et la mort"" accompagne les dernières images du film. Un petit macabre anecdote : au milieu du film, l'acteur qui a joué le rôle de Mihail, le rôle principal du film, est mort brutalement, à 40 ans. Il fallait tout recommencer, avec un nouvel acteur (Félix Lajko) pour jouer Mihail, mais aussi une nouvelle actrice pour interpréter sa mère.",0,1
74,"Moscou Zéro, titre prémonitoire parce que ce film est d'une grave nullité. Le scénario est de mourir de rire, Val Kilmer (5 min à l'écran) vient juste de prendre son chèque pour être en mesure de payer pour des séances de fitness parce qu'il me semble très gras. En dehors de cela, il y a des gens dans les tunnels qui tournent, d'autres qui tournent aussi et puis à la fin, nous comprenons seulement dalle...",1,0
75,"Très beau film, de bons acteurs (Clovis pas mal du tout! ) quelques phrases à garder et enfin même quand vous détestez le vélo et la tournée de France vous avez un très bon moment. A voir en famille (avec son ado ch.... par exemple....)",0,1
