,review,negative,positive
11,"Après une première vision dans la salle, mon avis n'a pas changé. Le seul avantage de ce film est les nombres chantés de Julie Andrews, experte en matière. Le scénario est une catastrophe, hésitante, incohérente parfois, certaines séquences sont lourdes et incompréhensibles.Le montage aurait dû éliminer quelques scènes inutiles comme les combats qui n'apportent rien, ce qui aurait allégé le temps de diffusion, trop long pour ce type d'intrigue. Blake Edwards est connu pour ne pas faire dans la dentelle. Il le prouve ici. Ceux qui veulent voir un film britannique de choix peuvent faire un bon tissu avec ""Noblesse forcée"" qui sort en ce moment.",1,0
12,"Abruti, triste, excitant. Eastwood m'a impressionné par la fluidité de ce film. Quelle lutte, Freeman m'a mis K.O. C'est incroyable ce film, d'un réalisme géant! La fin est dramatique mais c'est beau de toute façon!",0,1
13,"Le script est très original, c'est l'histoire d'un nouveau jeu qui se connecte directement au système nerveux, mais à une conférence, un fanatique qui endommage dangereusement le pod de la designer du jeu. J'ai trouvé le film vraiment sous-estimé parce que oui, il est vraiment très étrange et a une ambiance très particulière, voir troublante, mais c'est ce qui fait toute l'essence du film, c'est essayer de perdre le spectateur avec la méthode du ""jeu dans le jeu,"" qui, d'autre part, fait penser un peu à ""Inception,"" et il est très bien fait parce qu'il est vraiment perdu et ne peut pas vraiment identifier les personnages, ce qui est vraiment déconcertant. Quant à la fin, j'ai adoré avec ce twist final assez inattendu et dans lequel le film laisse interpréter les spectateurs le fait de savoir si les personnages sont encore dans le jeu ou ne peut pas vraiment identifier les personnages, ce qui est vraiment déconcertant. Quant à la fin, j'ai adoré avec ce twist final assez inattendu et dans lequel le film laisse interpréter les spectateurs le fait de savoir si les personnages sont encore dans le jeu, ou ne peuvent pas vraiment identifier les personnages sont pas vraiment décon.",0,1
14,"Un très bon film, non pas sur la guerre du Vietnam elle-même, mais sur la perception qu'ont les soldats. Nous avons le point de vue de quatre protagonistes principalement. Deux sont des soldats expérimentés qui ont déjà été sur le front de cette guerre, l'un est un jeune soldat qui n'est pas encore allé et la dernière est une journaliste qui a une vision de citoyenne. Nous avons surtout une confrontation des idées entre James Caan (soldat expérimenté) et Sweeney (jeune soldat). L'un ne croit plus à cette guerre et est critique avec lui, l'autre croit en elle et veut y aller pour se battre. Il est très bien joué, il est émouvant et critique (pas autant que Appocalypse Now). Sans être un chef-d'œuvre, c'est un excellent film!",0,1
15,"Très bon film, contrairement à ""Shame"" dont il est proche sur le thème ""Thanks for Sharing"" nous offre de vraies histoires parfaitement supposées et réalistes. Nous regretterons d'une humeur présente mais peut émouvoir, trop proche de la réalité des faits de l'histoire. Là, nous trouverons deux acteurs qui ont explosé dans le film le plus populaire de la même année; ""The Avengers"" va certainement l'amuser. Mais tout le reste reste reste trop socio-moraliste.",0,1
16,"Cumulé de clichés et imprévisibles, ce film est une source d'eau de rose, avec des femmes qui pleurent pour un oui ou pour un non d'un côté et un homme qui veut peu à peu faire l'amour au lieu de risquer de trouver le grand amour, de l'autre. Heureusement quefiston va prendre l'avion seul comme un grand avec ses petits sales pour sauver tout cela! En échange, l'histoire pose des questions intéressantes à travers l'enfant, du père célibataire ou même de l'opposition entre le confort et la prise de risques dans le couple. Et bien que sonne déjà-vu, il sauve le film de la catastrophe parce qu'à côté de cela, il n'est pas franchement dynamique.",1,0
17,"film très décevant pour le grand retour de Benoit Poulsonorde, nous avons l'impression de redécouvrir une comédie archi-vue, décevante pour un film de Patrice Leconte. critique sur:cthiboy.blogs.allocine.fr",1,0
18,"Je ne comprends pas les mauvaises notes, c'est génial ce film, une grande intrigue, des acteurs au sommet, l'émotion, la réflexion, l'humour, l'amour, tout dans un seul film:)",0,1
19,"Un petit film, dépouillé, minimaliste, baigné par la lumière estivale. L'été de Giacomo raconte peu de choses et pas très bien, le scénario est inexistant. Il y a un peu d'agitation douce autour des premières émotions sensuelles d'un couple d'adolescents et c'est après tout. Clairement insuffisant à moins qu'il ne se laisse entraîner par la beauté de la nature et la fraîcheur naturelle des interprètes. Le premier film d'Alessandro Comodin manque cruellement de jeu et de paris, sa réception dépend fortement de l'humour du spectateur. Alors, indulgence intéressée ou ennuyeuse profonde?",1,0
20,"Un film d'horreur psychologique qui renvoie aux terreurs les plus profondes de l'Homme. À travers le film Kubrick vise à explorer la psychologie humaine et la douce chute dans la folie engendrée par la solitude, solitude extrême ici poussée à son paroxysme parce qu'elle est désirée par notre protagoniste. Écrivain raté, portant sa petite famille avec lui, il va se retrouver dans le nez avec le syndrome de ""la feuille blanche."" Le réalisateur montre comment l'artiste va devoir séparer de ses biens physiques, de sa raison, et finalement de sa famille...à la hache! Rapidement le complexe édipiano suggérait à l'intérieur du trio de personnages, dans l'atmosphère glaciale de l'hôtel, symbole d'une extrême rationalité et d'une symétrie malavisée, comme souvent à Kubrick. Porté par un Jack Nicholson sur le sommet de sa carrière, et qui semble plus fou que jamais dans cet environnement des plus malsains, le temps semble se dilater dans ce coin perdu dans les montagnes, et épuis son arrivée avec ce film n'a jamais baisé dans le cinéma.",0,1
21,"Ce n'est pas pour rien que le titre ait passé dans le langage ordinaire, un peu comme les Grossellas et Le Quesnoy dans son temps: Chatiliez a l'art de s'emparer du journal familial et de monter en épingle son thème. Ici, confine à l'exceptionnel: un fils exaspérant de bonté totalement dépendant, des parents à bout... le résultat est un feu d'artifice. Les coups tordus se succèdent glissant sur les plumes du canard Tanguy imperturbable. Quant aux acteurs, le choix du tandem Azema-Dussollier s'est avéré sage (aussi amusants dans la réduction comme dans ses petites conspirations) et Eric Berger joue à des merveilles les têtes. Je ne vois que les pis froids pour rester indifférents devant ce film.",0,1
22,"M. Eustache, vous êtes parti très tôt. Vous avez quelque chose à faire nostalgique aux générations suivantes... oui, je suis nostalgique. Lorsque nous avons passé deux heures si merveilleuses, suivant une histoire apparemment anodine, et qui déborde en réalité de subtilité et d'authenticité, il y a à regretter Truffaut et son groupe. Juste pour ressentir une atmosphère, une époque, le film vaut la peine. Tout est authentique. Le jeune Martin Loeb est formidable dans sa capacité à dire beaucoup en faisant si peu. L'intrigue se développe doucement, avec une intensité insoupçonnable, et une douceur un peu noire. Nous sommes sortis bouleversés. Nous ne savons pas ce qui s'est passé exactement... mais nous étions là, oui, nous étions là. Nous avons été témoins d'une vie pendant deux heures, et il est difficile d'en sortir après. Il n'y a plus de complaisance, il n'y a plus qu'une histoire vraie, qui suit son cours, depuis le début jusqu'à la fin.",0,1
23,"Un film plein d'énergie et emprunte une certaine humeur! Bien que le scénario n'invente rien dans ce qui a déjà été fait et vu sur le thème du rajeunissement, le casting est bluffant et les chorégraphies bien faites. Nous pardonnerons le manque de rationalité dans l'écriture à la fois la bonne humeur communicative du film nous conduit à ses pas.",0,1
24,"Je ne sais pas si c'est moi qui ai mal ouvert mes chakras, mais ce Bertolucci ne m'a pas du tout convaincu. Le pitch de départ semblait vouloir donner lieu à un voyage spirituel passionnant pour ses personnages et le spectateur; mais, sans hésiter pour un instant de la sincérité du cinéaste, on a l'impression de la manière dont il est représenté dans ce film que la religion bouddhiste est pour les moins de cinq ans. Ce qui fait que ""Little Buddha"" laisse l'impression d'être une grande chose naïve et pleine de bons sentiments dans rien arrangé par ""flashbacks,"" qui contente l'histoire du futur Buddha, dont l'image bien colorée, manque sérieusement de sobriété et même spiritualité, surcharge l'ensemble et apparaît bien redondant. Et ensuite on ne sait pas où le directeur veut venir; son discours est confus pour ne pas dire inexistant. Je n'ai pas encore vu tout de Bertolucci, mais ce film est pour moi, pour le moment moins faible, pour le moment moins.",1,0
25,"Ce décalage entre une presse qui se concentre sur YAB et ce que pense le spectateur nous confirme dans le fait qu'il faut faire confiance aux êtres humains et à la masse qu'il représente. Certaines élites tomberont peu à peu. Larmes de voir l'universalité. Oui, dans l'esprit de 6 milliards d'autres. Va le voir, devant ton ordinateur... et surtout donne l'occasion à quelqu'un que tu aimes de le voir. Ce sera un signe d'amour.",0,1
26,Une suite à la hauteur de la première partie avec toujours autant d'humour noir dans un ton sarcastique.,0,1
27,"D'abord le malaise devient lourd. Après une introduction assez amusante, ce ""Rien qui pour vos yeux"" devient rapidement banal et très fantôme. Horaire un scénario d'un intérêt mineur et des méchants à la réduction, nous ne pouvons que regretter le ringardise de certains dialogues et personnages, qui ne manquent certainement pas de goût au film. En outre, il se sent presque parfois être dans le grand rire tellement qu'il ne semble ni sérieux ni appliqué. Cependant, James Bond oblige, l'ensemble se laisse regarder sans dégoût, la beauté de Carole Bouquet ne nous laisse pas indifférente et certaines scènes valent la peine de jeter un coup d'oeil, mais tout cela semble en définitive si anecdotique et sans créativité qu'on oublie à peine le film fini. Un coup pour rien.",1,0
28,"Vraie succession indigeste de références et d'hommages très (trop) soutenus, ""La Banda en Picsou: Le Film - Le Trésor de la Lampa Perdue"" reste plat et totalement insignifiante depuis le début jusqu'à la fin des 67 minutes qui constituent l'œuvre. Pour des raisons de plaire d'abord aux enfants, l'histoire, téléphone et très inimaginable, ne pourra surprendre que les plus jeunes d'entre nous. En outre, avec une introduction ridicule et envoyée, Disney ne cache pas ses ambitions: produire un sous-gene pour un maximum de rentabilité. Les blagues autour de Picsou, bien que si précieuses dans les bandes dessinées originales, apparaissent dans ce film totalement fées. En outre, le film pique ici deux astuces à d'autres films (on pense d'abord aux ""Indiana Jones"" avant de réaliser que le reste constitue un vaste projet de ce qui se produira ensuite le magnifique ""Aladdin""), sans avoir été réellement renouvelé. En outre, nous sommes en droit d'être nécessairement déçus pour les cinq années.",1,0
29,"La caméra sur l'épaule est définitivement abandonnée et la seconde dans la troisième partie aussi. Tout se déroule ici sur un bateau, où les survivants des trois premiers films sont en quarantaine. On passe un très bon moment, même si l'excellence de la première partie n'est pas atteinte.",0,1
30,"Peter Weir est un grand réalisateur plein de talents qui fait de grands films sur le chef-d'œuvre!! L'épreuve avec ""état second"" qui raconte l'histoire de personnes qui ont survécu à un accident d'avion, dont certains ont perdu des familles et des familles, qui sont, comme le titre indique, dans un deuxième état de choc émotionnel. Un film touchant et plein d'humanités, porté par un très grand Jeff Bridges et une excellente actrice qui devient rare sur grand écran, Rosie Pérez. Un très grand film a à voir!!",0,1
31,"Mauvaise performance, mauvaise scène, mauvaise réalisation... J'ai rarement vu pire... même sur le fond sonore, ça n'arrive pas.",1,0
32,"Le flim est mal de traiter, les personnages sont fados et pas assez profonds, l'histoire n'est pas assez cohérente, le psychologue dit que le parck a guéri un homme mais le protagoniste subit des effets négatifs, la fin n'est pas assez explicite, c'est le spectateur pour terminer le film. Trop de répétitions et de lenteurs dans le film. Ces nuits avec théodore sont très longues à mon goût.",1,0
33,"Mouaaaaais... un thriller de science-fiction sur fond de paradoxe temporel, sur papier je suis pris, mais je devrais m'offrir plus qu'une leçon de morale XXL et c'est à cela que se résume un peu ""in the shadow of the moon."" Comme souvent dans Netflix la réalisation est guérie mais j'ai eu (outre le lecon de morale) l'impression de voir une nouvelle discontinuité au format long métrage ou un manque de rythme assez sensible. L'idée était là mais le produit fini n'est pas vraiment transcendant 2 / 5",1,0
34,"Le film de Jim Carrey que je préfère, un chef-d'œuvre dans un univers qui fait rire et pleurer.",0,1
35,"Un film de vampires essayant une approche un peu différente. Il y a de l'idée, mais il fait plus de film d'étudiant à très (tes) grand budget que le vrai divertissement. Difficile de s'attacher aux personnages, le jeu d'acteur est conventionnel, sans véritable interprétation, et ils n'ont plus qu'un trait de personnalité chacun (sauf le personnage principal, qui n'en a aucun). La prise de vue est moyenne, bien réalisée, scolaire. Les dialogues sont un peu lamentables (version pliée, confession). Le script a une base (vaguera) originale, mais une continuité très banalement hollywoodienne, n'attendez pas suspense. Ceci change, et je ne le regrette pas plus tard. Mais c'est seulement pour les curieux du genre.",1,0
36,"On peut dire que ce film est un classique, voir culte, dans le bouclier Spielberg avait réussi son coup dans le monde entier pishcosa sur les plages, en France nous avons eu l'insipide Lenormand avec sa chanson 'petit dauphin' contre ce film un franchuillard qui, cela ne parle pas seulement de requin et sa phobie mais aussi des politiques honteuses de la conscience de masse, un coup de maître de Spielberg qui est l'un de ses plus grands succès et nous connaîtrons la suite de ses succès, Roy Scheider est incroyable l'intensité sur son visage et bien sur la célébration guimick de violoncelle comme B.O par John Williams. J'adore les requins à force de surpèche de touristes trop pourris avec son yacht de pd et son bateau surpuissant, les requins ne savent plus où vivre est l'homme qui envahit sur son territoire l'eau la mer et non l'inverse, et sur tout les tarloès de la terre et les tarba!",0,1
37,"Vraiment très déçu, je pensais voir un bon film d'arts martiaux et d'action, mais au lieu d'un film ennuyeux du début à la fin, les luttes sont très mal faites et les acteurs pas en haut, la réalisation médiocre, le scénario bof, pitié pour Sean Faris.",1,0
38,"Quand le cinéma de Joel Seria sera-t-il vraiment réhabilité? Ce cinéaste est l'un des seuls en France qui a réussi à faire des films intransigeants, crus, qui mettent vraiment en question la société, ses hypocrisies ses lâches, tout en faisant des films vraiment populaires! Seria est encore plus fort que Chabrol! Et beaucoup plus amusant! Réplicas cultes, un JP Marielle impressionnant (je suppose que l'un des plus grands acteurs français) et un film pour crier de rire (jaune)",0,1
39,Une superbe comédie pleine de tendresse avec super comédiens voir d'urgence.,0,1
40,"Les héros n'ont pas froid dans les oreilles, les faits s'écroulent et l'échafaudage sans trembler, le voleur, Lacenaire dans ton âme et conscience. Une descente dans l'enfer pour moi aussi. Après ma vie est devenu un long suicide.",1,0
41,"En effet, malgré le fait et ce sera le seul point positif de cette critique, les effets spéciaux sont assez corrects et éblouissants à l'heure actuelle, nous sommes confrontés à une situation qui préconise les aspects caricaturaux des personnages et une situation aussi rocheuse que probable. C'est long, la réalisation est paresseuse, le scénario long dans des classiques comme Aliens ou The Thing, en résumé, rien vraiment excitant. Je n'irai pas jusqu'à dire que c'est un navet mais presque, à oublier.",1,0
42,"Film mineur pour Almodovar qui navigue entre plusieurs genres sans être vraiment nulle part. C'est d'ailleurs très kitsch, aussi, même pour un film qui voulait assez fou...",1,0
43,"L'acteur qui a le rôle ne ressemble pas du tout à Al. Aucun charisme, même s'il a les défauts de Capone. Les acteurs récitent leurs textes, les dialogues sont sans goût, aucune scène est remarquable mais beaucoup n'ont aucun intérêt. Le montage est confus, à part quelques fusillades peu célèbres d'ici, de là est ennuyeux.",1,0
44,"Découverte il y a 28 ans avec "" Mon XXe siècle "" lauréate de la Chambre d'Or, Ildiko Enyedi revient cette année avec une romance atypique très sensible et poétique. Les deux acteurs, timides et limite autistes, sont plus que collants et sont magnifiés par un travail de réalisation formidable qui insiste énormément sur les jeux de lumière.",0,1
45,"Beaucoup de promesses et de truismes - pas toujours tenus - pour un thriller formel malgré un discours tenu si non fatigué, et des lieux pittoresques et des costumes le long du déplacement des tambours de celloid. Inédit. Presque culte.",1,0
46,"Le secret de Terabithia est un film vraiment très excitant à la realisation plutot reussie, et les jeunes acteurs sont très bons. Les filles pleurent à la fin de Titanic et je pleure à la fin du Secret de Terabithia^^^ Pour les petits et les grands.",0,1
47,"Si vous voulez parler d'un massacre, vous n'avez qu'à faire un reportage, pas ce genre de film, où c'est long et ennuyeux.",1,0
48,"Un polaire psychologique qui bénéficie d'un casting de premier ordre! Il est très intéressant d'assister à cette véritable angoisse d'un avocat; son erreur de jugement dans un procès, représente beaucoup pour lui, voir trop!",0,1
49,"Personnellement je ne connaissais pas l'univers de Corto Mlatese (je n'ai jamais lu une BD) et j'ai été bien surpris, car ce dessin animé est basé sur des principes de film classique. Une très belle aventure donc avec de nombreux personnages savament présentés.",0,1
50,"Comment ne pas aimer ce film grandiose? Ces faerios décorés; ces personnages fantastiques? Je me demande... Les critiques de la presse à la garde de ce film ont été faites à mon avis très violentes. Roberto Begnini incarne parfaitement ce rôle de petit enfant, parce qu'en dépit de son apparence adulte, il est certainement plus enfant encore que certains adolescents. Ce papier va à la perfection. Après avoir vu ce film, j'ai trouvé que l'histoire de Pinocchio était d'autant plus magique, et en plus, derrière toutes ces rires et ces larmes, il y a une valeur morale... Un film touchant, et amusant.",0,1
51,"Un grand nard, plein d'invraisemblables extraits de films d'animaux complètement dépassés, sans dialogue, histoire de base et effets spéciaux de l'époque (ceci, je l'admets et c'est ce qui me permet de mettre une note de 0,5 dans ce film).",1,0
52,"Les personnages que nous laissons ne sont plus là, nous ne savons pas pourquoi Alicia se trouve seule à Washington. Les scènes de combat ne sont pas bien filmées, va trop vite pour continuer. La bande sonore est mauvaise. Les personnages secondaires sont totalement inutiles, car nous ne savons rien d'eux. Film totalement sans sens de l'humour, presque sans texte! Même l'héroïne n'est pas stylisée, contrairement aux films précédents. Je m'attendais à leur sortie avec impatience...",1,0
53,"Monte Hellman s'était fait au moins discret depuis une vingtaine d'années. Il revenait derrière la caméra avec ce film tordu et tordu. Son approche créative est intéressante, autour de la mise en abîme du cinéma, et aussi le style, sorte de puzzle mystérieux et non effrayant. Mais le cinéaste a inutilement compliqué son script, jouant exagérément sur la confusion entre la réalité et la fiction, entre les identités, se perdant lui-même dans les tours et détours de son histoire, les motivations des personnages, et perdant aussi ses spectateurs à travers une intrigue peu lisible. Le petit jeu narratif, qui n'apporte finalement rien de nouveau en matière de réflexion sur le cinéma, finit par se fatiguer, surtout parce qu'il s'étire en longueur. Décadent. Il convient de noter: le petit rôle de Fabio Testi (Le Jardin des Finzi Contini, L'Importante est aimer, Le Fou de guerre...).",1,0
54,"Ce film est totalement découvrable, c'est une perle du cinéma asiatique, très drôle, qui sort des sentiers battus.",0,1
55,"On peut très facilement définir ce film comme un téléfilm du dimanche pas cher dans lequel les acteurs sont faibles et un script conçu sous extasie, j'espère seulement que le réalisateur n'a pas d'autres idées comme celle-ci parce que faire des stagiaires du congrès devenir fous danseurs, des députés accro aux stéticiens et des chiens qui revendiquent leur homosexualité, il faut vraiment avoir la tête!",1,0
56,"L'histoire n'est pas très originale: une S.D.F. (Miss Jin) vit dans une station avec une fille et se joint à l'amitié avec un gardien de barrière solitaire. Un ancien chef d'entreprise, alcoolique et parasite rejoint le groupe. C'est plus une comédie qu'un drame social mais qui n'apporte pas beaucoup.",1,0
57,"Les effets spéciaux ne sont pas trop dégoûtants et j'aime les films de science-fiction, surtout quand il s'agit de trou noir, mais le scénario est vague, les acteurs/personnalisations ne sont pas convaincants (quand ils ne sont pas mauvais), les dialogues et beaucoup de scènes sont creux.",1,0
58,"Documentaire émouvant, émouvant, triste. Il est accessible aussi bien pour les fans que moi qui découvriront un grand nombre de documents inédits, mais aussi pour les personnes qui connaissent certaines chansons et suivent de loin leurs problèmes.",0,1
59,"Je n'avais jamais vu un tel ""telefilm""!!! Un tel ""telefilm"" devrait être interdit à la vente!!! LIBERTÉ et grave de dépenser autant d'argent pour tourner tel Navet. Je l'ai ramené à la boutique sans demander le remboursement tellement que j'avais pitié de me fortifier: HOMME AU REALISEUR",1,0
60,"Stéphane Kazandjianjian, lui, opte pour le film coral et reflex: nous avons donc six personnages, quatre histoires d'amour et une ausculculculculcule du genre, dont le réalisateur en scène augmente les clichés pour rire mieux en rire... avant qu'ils ne succumsucumen succombent franchement. Un discours au ton difficile à comprendre que, nécessairement, il a le daggagager franchement parfois. Cependant, tout n'est pas nécessaire de lancer ici, parmi un ensemble de répliques et de situations divertir, acteurs honorables (même si le meilleur d'entre eux, Kad Merad, n'a pas interprété qu'un très petit rôle), et des scènes musicales aussi déchues que la décalée, qui mettent en valeur le talent de danseur de Stéphane Rousseau. Dame que celui-ci n'avait aucun personnage plus consistant en cela, même si le meilleur d'entre eux, Kad Merad, n'interprète pas un rôle très petit) et des scènes musicales de danseur de Stéphane Rousseau. Rous Rous Rousseau.",1,0
61,"Non, non, nous ne faisons pas tous des erreurs parfois, mais ici, non, je ne peux pas croire! Actes, scénariste (s), dialogueur (s) et tous les participants y ont fait un grand idiot... Un idiot rarement égalé dans le monde du cinéma et je me suis arrêté au bout de quarante minutes (mon cerveau m'a supplié d'arrêter cette torture cinématographique.",1,0
62,"Kane a fait beaucoup de westerns dont la quasi-totalité ne mérite pas une vision en dehors du côté de l'histoire du cinéma du film. Nous sommes presque toujours déçus. La belle de San Francisco n'est ni un western ni une comédie musicale, c'est un film qui passe partout basé sur un scénario nul et flou. Anne Dvorak est moins belle que Virginia Grey et John Wayne joue comme un sabot, ses mimes ne font rire personne. On peut vraiment parler de mauvais film. Il ne mérite pas d'être retenu que pour la reconstitution de l'époque et qui évoque le terrible tremblement de terre de San Francisco (matin de 1906) ainsi que l'incendie qui a suivi. On voit bien le manque d'eau des pompiers mais trop peu les Chinois, peuple plus touché par ce drame géant.",1,0
63,"Une succession de scènes sans grand intérêt. En fin de compte, on apprend très peu de choses sur Pasolini. Les comédiens font ce qu'ils peuvent, mais ce n'est pas suffisant. Ils parlent presque tout le temps du film en anglais avec un grand accent américain, tandis qu'ils sont censés interpréter italiens.",1,0
64,"Une petite heure et demie mais qui semble très longue... pas beaucoup à se rappeler de ce film où il ne passe pas beaucoup, difficile de pendre dans cette histoire ou de s'attacher à un de ces personnages. Pas mal interprété pour cela, Alice Braga et Gael Garcia Bernal sont assez bons, mais le manque de dialogues, de rebondissements a eu raison de mon attention et finalement j'ai attendu avec impatience la fin du film qui m'a laissé totalement indifférent. Malgré une très belle photo, c'est pour moi une déception et un ptit loup dans le film de Bernal...",1,0
65,"Les 5 premières minutes passent plutôt bien et puis arrive une mauvaise course-suite qui donne le ton du reste de ce petit film est dommage parce que l'histoire sans être d'une folle originalité est efficace mais une réalisation plus solide aiderait certainement Linewatch. En fait le problème de Linewatch est que malgré certaines qualités le film ne fonctionne tout simplement pas, bien que nous faisons un effort Linewatch ne parvient pas à saisir notre œil.",1,0
66,Du cinéma de propagande... une poignée d'acteurs dont la belle et talentueuse Romy Schneider pour nous réciter le bréviaire conservateur et gelé du communisme...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,1,0
67,"Le maître des westerns spaghettis Sergio Leone revient après ""Pour une poignée de dollars"" pour nous remettre un film encore plus réussi, toujours avec Clint Eastwood parfait comme chasseur de cousine solitaire. Cette fois il est accompagné de Lee Van Cleef très bon aussi comme colonel vengeur. La mise en scène est excellente, la musique d'Ennio Morricone est une fois de plus sublime et épouse merveilleuse ce film. De nombreux rebondissements mettent l'histoire pour nous conduire à une fin grande face à un Gian Maria Volonte très bon.",0,1
68,"Même dans les téléfilms de zombies ou virus les plus pourris, il n'a jamais atteint cette nullité absurde! Rien ne sauve ce naufrage ridicule, ni acteurs, ni production, ni script, ni effets...etc. Et dire qu'il est sorti en 2008!!! Un vrai dragage de tous les mauvais scénarios et clichés du genre!",1,0
69,Très grand film d'animation japonaise. L'animation est visuelle superbe et l'histoire intéressante. A conseiller à n'importe quel fan d'Albator de se respecter.,0,1
70,"Je veux être tolérant avec les films d'horreur, mais il y a une certaine limite au-delà de laquelle on ne peut pas supporter les incohérences et les invraisemblables. Le genre ne pourrait pas exister sans cette somme de mauvaises décisions très souvent prises par les victimes qui tentent de survivre à leur tueur. Mais ici, le nombre de ces mauvaises décisions est tel que le film perd sa crédibilité. Surtout quand la victime en question devient MacGyver au bon moment, quand jusqu'à présent il s'est avéré être stupide.",1,0
71,Très beau film qui peut éveiller la conscience dans un monde où la cruauté animale est banalisée au nom de l'argent et du gain. Pour voir absolument.,0,1
72,"Ce film est une belle découverte parce qu'il est rare de voir Mark Whalberg (MW) jouer de façon dramatique. Il incarne un enfant riche que je qualifierai de douceur avec sa coupe de surf qui fait face à l'ennui dans ces relations professionnelles et familiales, père inconnu et mère noyé dans la dépression! Petit cocktail qui le convertit en âme vagabondante face à une mort attendue et même aimer, c'est son adrénaline! A côté de lui une broche de mafieux qui deviennent des thérapeutes de toxicomanes aux jeux d'argent, les trois acteurs sont très bons dans leurs rôles, avec un John Goodman en bon psychiatre, ces interventions dans le film passe de discours moralisateur à coups dans le dos! il y a comme liens père/fils avec ces 3 mafieux! L'histoire se développe entre l'université où il exerce sa profession d'enseignant et de sagesse sur sa carrière d'écrivain perdu (MW) les salles de jeux, les hôtels et d'autres endroits de la haute société américaine (lobby).",0,1
73,"C'est en Roumanie que le Hongrois Kornel Munderuczo est allé tourner ce beau ""Delta."" Présenté en compétition à Cannes 2008, ce film a obtenu le prix de la Critique Internationale. Un prix tout à fait mérité. En effet, ce film, au rythme assez lent, traite avec beaucoup de pudeur et de tact le sujet difficile de l'inceste frère/frère. Il montre aussi les maux de l'intolérance. Tout cela accompagné de très belle musique. Nous ne sommes pas près d'oublier l'impression sensée quand le quatuor de Schubert ""la petite fille et la mort"" accompagne les dernières images du film. Une anecdote un peu macabre: au milieu du tournage, l'acteur qui jouait le rôle de Mihail, le rôle principal du film, est mort brutalement, à 40 ans. Il a fallu tout recommencer, avec un nouvel acteur (Félix Lajko) pour jouer Mihail, mais aussi une nouvelle actrice pour interpréter sa mère.",0,1
